,Country name,Regional indicator,21_Ladder score,21_Standard error of ladder score,21_upperwhisker,21_lowerwhisker,21_Logged GDP per capita,21_Social support,21_Healthy life expectancy,21_Freedom to make life choices,21_Generosity,21_Perceptions of corruption,21_Ladder score in Dystopia,21_Explained by: Log GDP per capita,21_Explained by: Social support,21_Explained by: Healthy life expectancy,21_Explained by: Freedom to make life choices,21_Explained by: Generosity,21_Explained by: Perceptions of corruption,21_Dystopia + residual,20_Ladder score,20_Standard error of ladder score,20_upperwhisker,20_lowerwhisker,20_Logged GDP per capita,20_Social support,20_Healthy life expectancy,20_Freedom to make life choices,20_Generosity,20_Perceptions of corruption,20_Ladder score in Dystopia,20_Explained by: Log GDP per capita,20_Explained by: Social support,20_Explained by: Healthy life expectancy,20_Explained by: Freedom to make life choices,20_Explained by: Generosity,20_Explained by: Perceptions of corruption,20_Dystopia + residual,Ladder score_diff,Standard error of ladder score_diff,upperwhisker_diff,lowerwhisker_diff,Logged GDP per capita_diff,Social support_diff,Healthy life expectancy_diff,Freedom to make life choices_diff,Generosity_diff,Perceptions of corruption_diff,Ladder score in Dystopia_diff,Explained by: Log GDP per capita_diff,Explained by: Social support_diff,Explained by: Healthy life expectancy_diff,Explained by: Freedom to make life choices_diff,Explained by: Generosity_diff,Explained by: Perceptions of corruption_diff,Dystopia + residual_diff,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of exposure to COVID-19  infections in other countries as of March 31,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
0,Finland,Western Europe,7.842,0.032,7.904,7.78,10.775,0.954,72.0,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,7.808700085,0.031156305,7.869766235,7.747633934,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,1.972316742,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,0.033299914999999736,0.0008436950000000019,0.03423376499999975,0.032366065999999805,0.1357330300000008,-0.00032972900000005634,0.09917450000000372,-0.00017219900000009503,-0.03851798100000001,-0.009444584000000006,0.4576832580000001,0.1608104909999999,-0.39352590499999995,-0.22027140499999998,0.028683259999999988,-0.035670442,0.0031427379999999783,0.49016497400000025,5540718.0,5520314.0,10.125,42.79999923706055,2.225083351135254,0.0,1.0,0.5498598217964172,25.900000000000002,53821.0,55663.0,31.510042190551758
1,Denmark,Western Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,7.645599842,0.033492286,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,1.972316742,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,-0.025599842000000095,0.0015077140000000003,-0.024244582999999764,-0.02795510100000076,0.1589988800000004,-0.0019907909999999918,0.2974960300000049,-0.005444268000000085,-0.036201776000000005,0.010510543999999983,0.4576832580000001,0.17505147599999993,-0.395449202,-0.21633256599999995,0.020960103000000063,-0.034793396000000004,-0.01026032800000004,0.4352593119999999,5792203.0,5818553.0,22.409399032592773,42.29999923706055,3.9530560970306396,0.0,1.0,0.5717613697052002,27.8,53805.0,55477.0,25.53377342224121
2,Switzerland,Western Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,7.559899807,0.035014171,7.628527641,7.491271973,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.972316742,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,0.01110019299999987,0.0009858290000000006,0.01447235899999999,0.008728027000000083,0.13706721000000144,-0.0008465960000000328,0.29755249000000106,-0.002336650999999912,-0.08091103899999999,-0.011728431000000039,0.4576832580000001,0.17522575000000007,-0.3934034070000001,-0.22453318499999997,0.02404552999999998,-0.065055754,0.005054098999999979,0.48873259000000013,8654618.0,8574832.0,88.33430480957031,43.099998474121094,5.583521842956543,0.0,0.0,0.6600010395050049,30.1,67515.0,77087.0,116.6800308227539
3,Iceland,Western Europe,7.554,0.059,7.67,7.438,10.878,0.983,73.0,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,7.504499912,0.059615862,7.621346951,7.387652874,10.77255917,0.974669576,73.0,0.948891878,0.246944219,0.711709738,1.972316742,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,0.049500088000000275,-0.0006158620000000017,0.04865304900000034,0.05034712600000013,0.10544083000000093,0.008330423999999947,0.0,0.006108121999999994,-0.08694421899999999,-0.038709737999999994,0.4576832580000001,0.15549839199999993,-0.3755674870000001,-0.22884340599999997,0.036019252,-0.069330228,0.025459228,0.5063118860000002,341250.0,361313.0,8.498200416564941,37.29999923706055,1.6493347883224487,0.0,1.0,0.325368732213974,24.1,2261.0,2321.0,21.445266723632812
4,Netherlands,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,7.448900223,0.02779175,7.503372192,7.394428253,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,1.972316742,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,0.015099777000000536,-0.0007917500000000008,0.014627808000000186,0.01557174700000008,0.11928828000000102,0.0028611699999999685,0.09908142000000453,0.0044521809999999995,-0.03261244000000002,-0.02671712599999998,0.4576832580000001,0.16205365799999982,-0.384645935,-0.222675344,0.033373520000000045,-0.03431756899999999,0.015430237999999985,0.445882938,17134873.0,17332850.0,67.260498046875,43.20000076293945,5.573827266693115,0.0,0.0,0.5222078561782837,27.0,151547.0,171175.0,114.46841430664062
5,Norway,Western Europe,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,7.487999916,0.034837384,7.55628109,7.419718742,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,1.972316742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,-0.09599991599999935,0.0001626160000000043,-0.09428108999999996,-0.0967187419999993,-0.03480383999999859,0.0015134249999999572,0.09921721999999988,0.004249712999999988,-0.04153262999999999,0.006781806000000001,0.4576832580000001,0.11879266999999993,-0.387172501,-0.2260718989999999,0.03279911599999996,-0.038985086,-0.007100568000000029,0.411733704,5421242.0,5347896.0,8.042400360107422,39.70000076293945,2.67567777633667,0.0,1.0,0.6056562066078186,24.8,40500.0,41155.0,9.9976806640625
6,Sweden,Western Europe,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,7.353499889,0.036234196,7.424519062,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.972316742,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,0.009500111000000366,-0.00023419600000000595,0.008480937999999938,0.010519282999999824,0.10820617000000077,0.007688805000000021,0.09923095999999987,0.005855805999999908,-0.025614622000000004,-0.013880182000000019,0.4576832580000001,0.15576477300000002,-0.371347702,-0.223470461,0.0347022990000001,-0.028827892999999993,0.005933628999999996,0.4367007329999999,10099270.0,10285453.0,86.41220092773438,41.0,2.5899312496185303,0.0,0.0,0.45058152079582214,27.0,88544.70000000004,99647.19999999998,87.81182098388672
7,Luxembourg,Western Europe,7.324,0.037,7.396,7.252,11.647,0.908,72.6,0.907,-0.034,0.386,2.43,1.751,1.003,0.76,0.639,0.166,0.353,2.653,7.237500191,0.030851794,7.297969818,7.177030563,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,1.972316742,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,0.0864998090000002,0.006148206,0.09803018199999958,0.07496943700000003,0.19631927000000005,0.0010877919999999763,1.5299999915896478e-06,0.0013635699999999806,-0.029379412,0.018915705000000005,0.4576832580000001,0.2143239509999999,-0.384528419,-0.22644268499999998,0.028862955000000023,-0.029953919999999995,-0.014041469000000029,0.49929964800000004,625976.0,619896.0,79.07649993896484,39.70000076293945,5.973625659942627,0.0,0.0,0.5949245095252991,30.900000000000002,4288.0,4706.0,68.43937683105469
8,New Zealand,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,7.299600124,0.039465468,7.376952648,7.222247601,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,1.972316742,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,-0.02260012400000022,0.0005345320000000042,-0.021952647999999186,-0.024247600999999896,0.14205682000000053,-0.0011189719999999959,0.19737091000000362,-0.007217486999999911,-0.057598073,0.020861149999999995,0.4576832580000001,0.1576820849999998,-0.39321838,-0.22313829900000004,0.01821009200000001,-0.049726210999999965,-0.01626827599999997,0.48389197500000014,4822233.0,4917000.0,0.5184000134468079,37.900001525878906,0.37902915477752686,1.0,1.0,0.5265658497810364,34.1,34088.0,33177.0,-7.563881874084473
9,Austria,Western Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,7.294199944,0.033365164,7.359595776,7.228804111,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,1.972316742,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,-0.02619994400000003,0.0026348359999999946,-0.02259577600000018,-0.030804110999999246,0.1631764000000011,0.005954131000000085,0.2974975599999965,0.00801051400000008,-0.043429221,-0.018954879000000036,0.4576832580000001,0.17471446200000007,-0.37544492500000004,-0.218933528,0.03663112199999996,-0.040509763999999976,0.010743860999999966,0.38555391699999975,9006400.0,8877067.0,69.08419799804688,44.400001525878906,4.3146820068359375,0.0,0.0,0.35760387778282166,26.8,81557.0,91553.0,110.82119750976562
